,bar_count,battery_level,bench_count,bike_score,bus_count,captive,city,clds,code,elevation,housing_units,id,land_area_in_sqmi,latitude,longitude,nest_id,park_count,parking_count,point,pop_density,population,precip,radius_in_miles,states,supermarket_count_1000m,temp,timestamp,uv_index,walk_score,water_area_in_sqmi,weekday,wspd,zip_code
10195,0,92,0,90,0,False,DC,OVC,,9.198270797729492,26166.0,e524a548-837c-4445-80e7-35990922e56b,5.26,38.897178333333336,-76.97448666666666,a3482b0a-d82f-4a2f-8f15-cc43c548794e,16,1,"(38.897178333333336, -76.97448666666666)",9961.0,52370.0,,2.0,DC,2,18,2019-03-25 10:44:51.809996,2,74,0.22,0,7.0,20002
10196,0,99,0,90,0,False,DC,OVC,,9.212747573852539,26166.0,1fea7098-a6d5-43d2-b106-ff7993e529fc,5.26,38.89719,-76.97448666666666,a3482b0a-d82f-4a2f-8f15-cc43c548794e,16,1,"(38.89719, -76.97448666666666)",9961.0,52370.0,,2.0,DC,2,18,2019-03-25 10:44:51.809996,2,74,0.22,0,7.0,20002
10197,0,99,0,90,0,False,DC,OVC,,9.191389083862305,26166.0,780f0159-8a31-4e5e-a14a-304877ce3f09,5.26,38.897175,-76.97446500000002,a3482b0a-d82f-4a2f-8f15-cc43c548794e,16,1,"(38.897175, -76.97446500000002)",9961.0,52370.0,,2.0,DC,2,18,2019-03-25 10:44:51.809996,2,74,0.22,0,7.0,20002
10198,0,83,0,90,0,False,DC,OVC,,9.255728721618652,26166.0,574221f6-117c-490a-8764-285d0e4d8512,5.26,38.89720166666667,-76.97444833333334,,16,1,"(38.89720166666667, -76.97444833333334)",9961.0,52370.0,,2.0,DC,2,18,2019-03-25 10:44:51.809996,2,74,0.22,0,7.0,20002
10199,0,63,0,48,0,False,DC,OVC,,22.4781665802002,22753.0,e7f74494-d55e-4499-9df4-db1752f4b7db,4.61,38.86327666666667,-76.98925,,15,5,"(38.86327666666667, -76.98925)",10809.0,49864.0,,2.0,DC,1,18,2019-03-25 10:44:51.809996,2,83,0.15,0,7.0,20020
10200,0,76,0,71,0,False,DC,OVC,,79.19513702392578,18985.0,35cf102a-53e0-40fe-ac01-68489513ea5b,2.34,38.89758,-77.10005166666666,,10,0,"(38.89758, -77.10005166666666)",14311.0,33476.0,,1.0,DC,3,18,2019-03-25 10:44:51.809996,2,72,0.0,0,7.0,22201
10201,0,97,0,87,1,False,DC,OVC,,78.88278198242188,18985.0,922d1075-8f42-4485-94b8-72fe2c26852f,2.34,38.88432666666667,-77.10050166666666,292802ab-4758-423a-82f6-97473f816941,19,4,"(38.88432666666667, -77.10050166666666)",14311.0,33476.0,,1.0,DC,4,18,2019-03-25 10:44:51.809996,2,94,0.0,0,7.0,22201
10202,0,100,0,87,1,False,DC,OVC,,78.72805786132812,18985.0,ea8331b1-8a07-472c-9a0c-3b3d67e8320c,2.34,38.88435666666667,-77.100555,292802ab-4758-423a-82f6-97473f816941,19,4,"(38.88435666666667, -77.100555)",14311.0,33476.0,,1.0,DC,4,18,2019-03-25 10:44:51.809996,2,94,0.0,0,7.0,22201
10203,0,100,0,87,1,False,DC,OVC,,78.72976684570312,18985.0,2067643f-4945-41ce-9969-f60178df588f,2.34,38.88435666666667,-77.10057833333333,292802ab-4758-423a-82f6-97473f816941,20,4,"(38.88435666666667, -77.10057833333333)",14311.0,33476.0,,1.0,DC,4,18,2019-03-25 10:44:51.809996,2,94,0.0,0,7.0,22201
10204,0,92,0,86,1,False,DC,OVC,,73.10971069335938,18985.0,35026d9c-7fdb-4b93-b64d-eb721df0531e,2.34,38.88465833333333,-77.10093666666667,,21,5,"(38.88465833333333, -77.10093666666667)",14311.0,33476.0,,1.0,DC,4,18,2019-03-25 10:44:51.809996,2,92,0.0,0,7.0,22201
